route_id,service_id,trip_id,trip_headsign,direction_id
AW____135,071208,1,"Dölzig (Schkeuditz), Frankenheimer Str.",1
AW____135,071209,2,"Dölzig (Schkeuditz), Frankenheimer Str.",1
AW____135,071203,3,"Dölzig (Schkeuditz), Frankenheimer Str.",1
AW____135,071208,4,"Dölzig (Schkeuditz), Kirche",1
AW____135,071208,5,"Dölzig (Schkeuditz), Kirche",1
AW____135,071208,6,"Dölzig (Schkeuditz), Kirche",1
AW____135,071203,7,"Dölzig (Schkeuditz), Kirche",1
AW____135,071203,8,"Günthersdorf (Leuna), Nova Eventis",1
AW____135,071203,9,"Günthersdorf (Leuna), Nova Eventis",1
AW____135,071203,10,"Günthersdorf (Leuna), Nova Eventis",1
AW____135,071205,11,"Dölzig (Schkeuditz), Frankenheimer Str.",1
AW____135,071203,12,"Dölzig (Schkeuditz), Frankenheimer Str.",1
AW____135,071203,13,"Dölzig (Schkeuditz), Frankenheimer Str.",1
AW____135,071206,14,"Dölzig (Schkeuditz), Frankenheimer Str.",1
AW____135,071206,15,"Dölzig (Schkeuditz), Frankenheimer Str.",1
AW____135,071207,16,"Dölzig (Schkeuditz), Frankenheimer Str.",1
AW____135,071207,17,"Dölzig (Schkeuditz), Frankenheimer Str.",1
AW____135,071207,18,"Dölzig (Schkeuditz), Frankenheimer Str.",1
AW____135,071205,19,"Günthersdorf (Leuna), Nova Eventis",1
AW____135,071205,20,"Günthersdorf (Leuna), Nova Eventis",1
AW____135,071205,21,"Günthersdorf (Leuna), Nova Eventis",1
AW____135,071203,22,"Dölzig (Schkeuditz), Frankenheimer Str.",1
AW____135,071203,23,"Dölzig (Schkeutitz), Westringstr./Akzent",1
AW____135,071208,24,"Schkeuditz, Rathausplatz",0
AW____135,071209,25,"Schkeuditz, Rathausplatz",0
AW____135,071208,26,"Schkeuditz, Bahnhof",0
AW____135,071203,27,"Schkeuditz, Bahnhof",0
AW____135,071203,28,"Schkeuditz, Bahnhof",0
AW____135,071203,29,"Schkeuditz, Bahnhof",0
AW____135,071203,30,"Schkeuditz, Bahnhof",0
AW____135,071208,31,"Schkeuditz, Rathausplatz",0
