route_id,agency_id,route_short_name,route_long_name,route_type
AW____135,00683,"135","Bus 135",700
AW____190,00683,"190","Bus 190",700
AW____191,00683,"191","Bus 191",700
AW____192,00683,"192","Bus 192",700
AW____202,00683,"202","Bus 202",700
AW____203,00683,"203","rfb 203",715
AW____204,00683,"204","Bus 204",700
AW____207,00683,"207","Bus 207",700
AW____208,00683,"208","Bus 208",715
AW____209,00683,"209","Bus 209",700
AW____A,00683,"A","Bus A",700
AW____B,00683,"B","Bus B",700
AW____C,00683,"C","Bus C",700
AW____D,00683,"D","Bus D",700
AW____S,00683,"S","Bus S",700
BLK___101,00686,"101","Bus 101",700
BLK___102,00686,"102","Bus 102",700
BLK___103,00686,"103","Bus 103",700
BLK___201,00686,"201","Bus 201",700
BLK___202,00686,"202","Bus 202",700
BLK___203,00686,"203","Bus 203",700
BLK___204,00686,"204","Bus 204",700
BLK___205,00686,"205","Bus 205",700
BLK___206,00686,"206","Bus 206",700
BLK___207,00686,"207","Bus 207",700
BLK___208,00686,"208","Bus 208",700
BLK___209,00686,"209","Bus 209",700
BLK___301,00686,"301","Bus 301",700
BLK___302,00686,"302","Bus 302",700
BLK___303,00686,"303","Bus 303",700
BLK___601,00686,"601","rfb 601",715
BLK___602,00686,"602","rfb 602",715
BLK___603,00686,"603","rfb 603",715
BLK___604,00686,"604","Bus 604",700
BLK___605,00686,"605","Bus 605",700
BLK___606,00686,"606","Bus 606",700
BLK___607,00686,"607","Bus 607",700
BLK___608,00686,"608","Bus 608",700
BLK___610,00686,"610","rfb 610",715
BLK___611,00686,"611","BuN 611",700
BLK___613,00686,"613","Bus 613",700
BLK___614,00686,"614","Bus 614",700
BLK___615,00686,"615","Bus 615",700
BLK___616,00686,"616","Bus 616",700
BLK___618,00686,"618","Bus 618",700
BLK___620,00686,"620","Bus 620",700
BLK___621,00686,"621","Bus 621",700
BLK___622,00686,"622","Bus 622",700
BLK___623,00686,"623","Bus 623",700
BLK___629,00686,"629","Bus 629",700
BLK___630,00686,"630","Bus 630",700
BLK___631,00686,"631","Bus 631",700
BLK___632,00686,"632","Bus 632",700
BLK___633,00686,"633","Bus 633",700
