from_stop_id,to_stop_id,transfer_type,min_transfer_time
0000165,8012187,2,300
0000692,0005043,2,420
0000692,8011071,2,600
0000719,0004031,2,780
0000719,0004032,2,900
0000719,0015664,2,480
0000746,8012199,2,660
0000772,0003359,2,240
0000773,0003344,2,240
0000784,0020159,2,720
0000784,8010368,2,600
0000915,8010351,2,180
0003344,0000773,2,240
0003349,0003358,2,360
0003358,0003349,2,360
0003359,0000772,2,240
0003363,0005919,2,180
0003511,0003529,2,1440
0003529,0003511,2,1440
0003543,8010146,2,300
0003864,0011000,2,420
0003864,8012304,2,180
0003937,0005197,2,240
0003948,8012867,2,600
0004031,0000719,2,780
0004031,0004032,2,540
0004031,0015664,2,540
0004032,0000719,2,900
0004032,0004031,2,540
0004032,0015664,2,840
0004061,0004122,2,420
0004061,8010390,2,660
0004081,0004097,2,360
0004083,0004099,2,540
0004086,0004087,2,540
0004086,8012682,2,900
0004087,0004086,2,540
0004087,8012682,2,600
0004097,0004081,2,360
0004099,0004083,2,540
0004122,0004061,2,420
0004122,8010390,2,240
0004127,0004128,2,300
0004128,0004127,2,300
0004178,8013297,2,300
0004258,0022506,2,240
0004268,0015842,2,180
0004280,0022504,2,180
0004282,8012034,2,180
0004290,0022508,2,120
0004295,8012012,2,480
0004315,8011573,2,60
0004338,8012743,2,240
0004339,8011993,2,120
0004340,0004462,2,240
0004340,8011103,2,780
0004376,0022502,2,300
0004376,8010240,2,180
0004397,0022509,2,180
0004404,8010019,2,300
0004406,0022506,2,300
0004406,0022507,2,300
0004457,8012167,2,300
0004462,0004340,2,240
0004462,8011103,2,600
0004976,0005065,2,720
0004984,8011814,2,300
0004989,0005027,2,480
0005009,8080570,2,120
0005027,0004989,2,480
0005036,0010430,2,240
0005039,0022582,2,600
0005039,8011376,2,600
0005043,0000692,2,420
0005043,8011071,2,180
0005059,8080620,2,360
0005061,0009354,2,240
0005065,0004976,2,720
0005096,8080560,2,300
0005122,8010160,2,480
0005127,0005217,2,240
0005127,8010162,2,180
0005147,8080590,2,420
0005156,0005165,2,420
0005165,0005156,2,420
0005196,8011813,2,240
0005197,0003937,2,240
0005207,8013448,2,360
0005217,0005127,2,240
0005217,8010162,2,420
0005226,0009791,2,300
0005226,0010133,2,600
0005226,8010232,2,600
0005236,8080580,2,120
0005245,8080600,2,480
0005659,0022505,2,180
0005688,0020077,2,1200
0005688,8012417,2,180
0005722,8080610,2,600
0005764,8012147,2,300
0005919,0003363,2,180
0009354,0005061,2,240
0009590,8011043,2,420
0009594,8011043,2,420
0009728,8011402,2,420
0009751,8013111,2,300
0009791,0005226,2,300
0009805,8012080,2,300
0009860,8011711,2,540
0009873,8011752,2,480
0009889,0011815,2,180
0009961,8011905,2,360
0010055,8012147,2,420
0010105,8012148,2,480
0010133,0005226,2,600
0010133,8010232,2,300
0010159,8012414,2,480
0010169,0010171,2,600
0010169,8012506,2,300
0010171,0010169,2,600
0010171,8012506,2,420
0010185,8012619,2,720
0010208,8012757,2,300
0010244,8013097,2,120
0010247,0010248,2,540
0010247,8013110,2,300
0010248,0010247,2,540
0010248,8013110,2,600
0010255,8013220,2,600
0010261,0019950,2,180
0010430,0005036,2,240
0010637,8010046,2,60
