,name,time
0,data\US_Alabama_Birmingham,9
1,data\US_Alabama_Huntsville,17
2,data\US_Alabama_Montgomery,8
3,data\US_Alaska_Anchorage,17
4,data\US_Alaska_Juneau,16
5,data\US_Alaska_Ketchikan,7
6,data\US_Alaska_Klawock_,11
7,data\US_Arizona_Benson,8
8,data\US_Arizona_Bullhead_City,8
9,data\US_Arizona_Cottonwood,9
10,data\US_Arizona_Phoenix,16
11,data\US_Arizona_Sedona,6
12,data\US_Arizona_Sierra_Vista,11
13,data\US_Arizona_Tucson,18
14,data\US_Arizona_Yuma,16
15,data\US_California_Alhambra,15
16,data\US_California_Arcadia,15
17,data\US_California_Arcata,15
18,data\US_California_Arvin,12
19,data\US_California_Auburn,9
20,data\US_California_Bakersfield,17
21,data\US_California_Baldwin_Park,14
22,data\US_California_Banning,16
23,data\US_California_Beaumont,15
24,data\US_California_Bellflower,8
25,data\US_California_Bell_Gardens,8
26,data\US_California_Berkeley,6
27,data\US_California_Big_Bear,15
28,data\US_California_Bishop,14
29,data\US_California_Camarillo,11
30,data\US_California_Carson,12
31,data\US_California_Chico,13
32,data\US_California_Clovis,9
33,data\US_California_Compton,9
34,data\US_California_Corona,10
35,data\US_California_Crescent_City,13
36,data\US_California_Cudahy,7
37,data\US_California_Culver_City,17
38,data\US_California_Davis,15
39,data\US_California_Delano,14
40,data\US_California_Duarte,8
41,data\US_California_El_Monte,6
42,data\US_California_El_Segundo,12
43,data\US_California_Emeryville,12
44,data\US_California_Escalon,8
45,data\US_California_Fairfield,15
46,data\US_California_Fresno,16
47,data\US_California_Gardena,13
48,data\US_California_Hanford,11
49,data\US_California_Hesperia,16
50,data\US_California_Hollister,7
51,data\US_California_Huntington_Park,10
52,data\US_California_Jackson,8
53,data\US_California_Laguna_Beach,17
54,data\US_California_Lancaster,16
55,data\US_California_Lawndale,13
56,data\US_California_La_Puente,10
57,data\US_California_Livermore,15
58,data\US_California_Long_Beach,9
59,data\US_California_Los_Angeles,11
60,data\US_California_Madera,8
61,data\US_California_Merced,18
62,data\US_California_Modesto,16
63,data\US_California_Modoc_County,8
64,data\US_California_Montebello,16
65,data\US_California_Monterey,15
66,data\US_California_Monterey_Park,8
67,data\US_California_Moorpark,13
68,data\US_California_Morro_Bay,11
69,data\US_California_Mountain_View,7
70,data\US_California_Napa,16
71,data\US_California_Needles,10
72,data\US_California_Nevada_County,14
73,data\US_California_Oakland,18
74,data\US_California_Oxnard,15
75,data\US_California_Palm_Springs,16
76,data\US_California_Petaluma,15
77,data\US_California_Pinole,14
78,data\US_California_Redding,17
79,data\US_California_Red_Bluff,10
80,data\US_California_Ridgecrest,7
81,data\US_California_Rio_Vista,9
82,data\US_California_Ripon,13
83,data\US_California_Riverside,16
84,data\US_California_Rosemead,5
85,data\US_California_Sacramento,16
86,data\US_California_Sacremento,7
87,data\US_California_Santa_Barbara,10
88,data\US_California_Santa_Maria,15
89,data\US_California_Santa_Monica,15
90,data\US_California_Santa_Rosa,18
91,data\US_California_San_Andreas,12
92,data\US_California_San_Bernardino,16
93,data\US_California_San_Diego,15
94,data\US_California_San_Francisco,10
95,data\US_California_San_Jose,16
96,data\US_California_San_Leandro,16
97,data\US_California_San_Luis_Obispo,12
98,data\US_California_San_Mateo,8
99,data\US_California_Sierra_Madre,11
100,data\US_California_Simi_Valley,15
101,data\US_California_Solvang,7
102,data\US_California_Stanford,8
103,data\US_California_Stockton,15
104,data\US_California_Susanville,15
105,data\US_California_Taft,17
106,data\US_California_Tahoe_City,12
107,data\US_California_Thousand_Oaks,9
108,data\US_California_Thousand_Palms,16
109,data\US_California_Tracy,16
110,data\US_California_Tulare,14
111,data\US_California_Turlock,15
112,data\US_California_Ukiah,15
113,data\US_California_Vacaville,8
114,data\US_California_Yreka,14
115,data\US_California_Yuba_City,16
116,data\US_Colorado_Aspen,15
117,data\US_Colorado_Avon,8
118,data\US_Colorado_Boulder,7
119,data\US_Colorado_Breckenridge,15
120,data\US_Colorado_Broomfield,0
121,data\US_Colorado_Colorado_Springs,13
122,data\US_Colorado_Cripple_Creek,14
123,data\US_Colorado_Denver,15
124,data\US_Colorado_Eagle_County,17
125,data\US_Colorado_Estes_Park,13
126,data\US_Colorado_Fort_Collins,9
127,data\US_Colorado_Georgetown,14
128,data\US_Colorado_Ignacio,8
129,data\US_Colorado_Las_Animas,14
130,data\US_Colorado_Montrose,7
131,data\US_Colorado_Pueblo,15
132,data\US_Colorado_Snowmass_Village,7
133,data\US_Colorado_Telluride,8
134,data\US_Colorado_Town_of_Mountain_Village,7
135,data\US_Colorado_Vail,11
136,data\US_Colorado_Winter_Park,18
137,data\US_Connecticut_Bridgeport,17
138,data\US_Connecticut_Centerbrook,15
139,data\US_Connecticut_Preston,12
140,data\US_Connecticut_Stamford,17
141,data\US_District_of_Columbia_Kent,17
142,data\US_District_of_Columbia_Washington,9
143,data\US_Florida_Brooksville,10
144,data\US_Florida_Crestview,17
145,data\US_Florida_Fort_Lauderdale,18
146,data\US_Florida_Fort_Myers,17
147,data\US_Florida_Key_West,16
148,data\US_Florida_Ocala,8
149,data\US_Florida_Palm_Beach,14
150,data\US_Florida_Panama_City,6
151,data\US_Florida_Pensacola,12
152,data\US_Florida_Pinellas,16
153,data\US_Florida_Pompano_Beach,7
154,data\US_Florida_Saint_Augustine,7
155,data\US_Florida_Sarasota,14
156,data\US_Florida_Spring_Hill,15
157,data\US_Florida_Tallahassee,17
158,data\US_Florida_Tampa,7
159,data\US_Georgia_Atlanta,16
160,data\US_Georgia_Marietta,8
161,data\US_Georgia_Savannah,16
162,data\US_Hawaii_Hawai'i_Island,16
163,data\US_Hawaii_Honolulu,17
164,data\US_Idaho_Ketchum,8
165,data\US_Illinois_Chicago,15
166,data\US_Illinois_DeKalb,11
167,data\US_Illinois_Peoria,16
168,data\US_Illinois_Springfield,14
169,data\US_Illinois_Urbana,15
170,data\US_Indiana_Bloomington,8
171,data\US_Indiana_Gary,12
172,data\US_Indiana_Indianapolis,6
173,data\US_Indiana_Lafayette,13
174,data\US_Indiana_Muncie,15
175,data\US_Indiana_South_Bend,17
176,data\US_Indiana_Terre_Haute,9
177,data\US_Iowa_Ames,9
178,data\US_Iowa_Bettendorf,9
179,data\US_Iowa_Burlington,7
180,data\US_Iowa_Cedar_Rapids,13
181,data\US_Iowa_Clinton,7
182,data\US_Iowa_Coralville,7
183,data\US_Iowa_Dubuque,16
184,data\US_Iowa_Fort_Dodge,7
185,data\US_Iowa_Iowa_City,8
186,data\US_Iowa_Marshalltown,9
187,data\US_Iowa_Mason_City,7
188,data\US_Iowa_Muscatine,9
189,data\US_Iowa_Ottumwa,9
190,data\US_Iowa_Sioux_City,7
191,data\US_Iowa_Waterloo,15
192,data\US_Kansas_Lawrence,11
193,data\US_Kentucky_Fort_Wright,17
194,data\US_Kentucky_Lexington,7
195,data\US_Kentucky_Louisville,17
196,data\US_Louisiana_Baton_Rouge,10
197,data\US_Maine_Casco_Bay,16
198,data\US_Maine_Portland,15
199,data\US_Maryland_Aberdeen,15
200,data\US_Maryland_Allegany,11
201,data\US_Maryland_Annapolis,14
202,data\US_Maryland_Baltimore,7
203,data\US_Maryland_Bethesda,11
204,data\US_Maryland_Montgomery,16
205,data\US_Maryland_Ocean_City,7
206,data\US_Maryland_Salisbury,17
207,data\US_Maryland_St._Charles,8
208,data\US_Maryland_Towson,17
209,data\US_Massachusetts_Attleboro,10
210,data\US_Massachusetts_Berkshire,10
211,data\US_Massachusetts_Billerica,7
212,data\US_Massachusetts_Boston,16
213,data\US_Massachusetts_Brockton,16
214,data\US_Massachusetts_Cape_Cod,15
215,data\US_Massachusetts_Franklin,17
216,data\US_Massachusetts_Lowell,9
217,data\US_Massachusetts_Nantucket,11
218,data\US_Massachusetts_New_Bedford,11
219,data\US_Massachusetts_Worcester,12
220,data\US_Michigan_Ann_Arbor,17
221,data\US_Michigan_Detroit,9
222,data\US_Michigan_Flint,12
223,data\US_Michigan_Traverse_City,9
224,data\US_Minnesota_Duluth,16
225,data\US_Minnesota_Minneapolis,16
226,data\US_Mississippi_Jackson,16
227,data\US_Missouri_Kansas_City,17
228,data\US_Missouri_St._Louis,15
229,data\US_Montana_Bozeman,12
230,data\US_Montana_Butte,11
231,data\US_Montana_Helena,13
232,data\US_Montana_Missoula,15
233,data\US_Nebraska_Omaha,17
234,data\US_Nevada_Carson_City,9
235,data\US_Nevada_Las_Vegas,17
236,data\US_New_Jersey_Jersey_City,17
237,data\US_New_Mexico_Albuquerque,16
238,data\US_New_Mexico_Farmington,12
239,data\US_New_Mexico_Gallup,8
240,data\US_New_Mexico_Santa_Fe,12
241,data\US_New_York_Albany,7
242,data\US_New_York_Buffalo,15
243,data\US_New_York_Canton,14
244,data\US_New_York_Clarkstown,10
245,data\US_New_York_Cooperstown,16
246,data\US_New_York_Elmira,17
247,data\US_New_York_Huntington,12
248,data\US_New_York_Ithaca,8
249,data\US_New_York_Jamestown,15
250,data\US_New_York_Long_Beach,7
251,data\US_New_York_Long_Island,18
252,data\US_New_York_Lowville,8
253,data\US_New_York_Mechanicville,12
254,data\US_New_York_Nassau,16
255,data\US_New_York_New_York_City,17
256,data\US_New_York_North_Malone,13
257,data\US_New_York_Norwich,10
258,data\US_New_York_Olean,15
259,data\US_New_York_Otsego,9
260,data\US_New_York_Plattsburg,13
261,data\US_New_York_Plattsburgh,16
262,data\US_New_York_Poughkeepsie,16
263,data\US_New_York_Rochester,8
264,data\US_New_York_Saratoga_Springs,13
265,data\US_New_York_Schenectady,8
266,data\US_New_York_Utica,15
267,data\US_New_York_Watertown,10
268,data\US_New_York_White_Plains,17
269,data\US_New_York_Yates,10
270,data\US_North_Carolina_Asheville,12
271,data\US_North_Carolina_Cary,10
272,data\US_North_Carolina_Chapel_Hill,8
273,data\US_North_Carolina_Concord,9
274,data\US_North_Carolina_Durham,16
275,data\US_North_Carolina_Greensboro,17
276,data\US_North_Carolina_Raleigh,8
277,data\US_North_Carolina_Rocky_Mount,14
278,data\US_North_Carolina_Wilmington,17
279,data\US_Ohio_Akron,10
280,data\US_Ohio_Brecksville,11
281,data\US_Ohio_Canton,15
282,data\US_Ohio_Cincinnati,16
283,data\US_Ohio_Cleveland,16
284,data\US_Ohio_Columbus,17
285,data\US_Ohio_Dayton,14
286,data\US_Ohio_Hamilton,15
287,data\US_Ohio_Lima,9
288,data\US_Ohio_Youngstown,13
289,data\US_Oklahoma_Oklahoma_City,11
290,data\US_Oklahoma_Tulsa,12
291,data\US_Oregon_Albany,7
292,data\US_Oregon_Astoria,13
293,data\US_Oregon_Bend,17
294,data\US_Oregon_Brookings,11
295,data\US_Oregon_Burns,15
296,data\US_Oregon_Canby,16
297,data\US_Oregon_Coos_Bay,10
298,data\US_Oregon_Corvallis,7
299,data\US_Oregon_Cottage_Grove,8
300,data\US_Oregon_Eugene,17
301,data\US_Oregon_Florence,10
302,data\US_Oregon_Grants_Pass,7
303,data\US_Oregon_Hood_River,7
304,data\US_Oregon_Klamath_Falls,9
305,data\US_Oregon_Medford,12
306,data\US_Oregon_Milton-Freewater,10
307,data\US_Oregon_Newport,16
308,data\US_Oregon_Oakridge,7
309,data\US_Oregon_Ontario,10
310,data\US_Oregon_Pendleton,9
311,data\US_Oregon_Portland,7
312,data\US_Oregon_Roseburg,15
313,data\US_Oregon_Salem,6
314,data\US_Oregon_Sandy,18
315,data\US_Oregon_Sweet_Home,13
316,data\US_Oregon_Tillamook,8
317,data\US_Oregon_Wallowa,11
318,data\US_Oregon_Wilsonville,15
319,data\US_Oregon_Woodburn,12
320,data\US_Oregon_Yamhill,17
321,data\US_Oregon__Molalla,13
322,data\US_Pennsylvania_Allentown,17
323,data\US_Pennsylvania_Berks_Area,16
324,data\US_Pennsylvania_Erie,9
325,data\US_Pennsylvania_Lancaster,16
326,data\US_Pennsylvania_Philadelphia,17
327,data\US_Pennsylvania_Pittsburgh,16
328,data\US_Pennsylvania_York,16
329,data\US_Rhode_Island_Newport,11
330,data\US_Rhode_Island_North_Kingstown,16
331,data\US_South_Carolina_Charleston,16
332,data\US_South_Carolina_Clemson,9
333,data\US_South_Carolina_Columbia,17
334,data\US_South_Dakota_Sioux_Falls,9
335,data\US_Tennessee_Chattanooga,16
336,data\US_Tennessee_Knoxville,16
337,data\US_Tennessee_Memphis,14
338,data\US_Tennessee_Nashville,10
339,data\US_Texas_Amarillo,13
340,data\US_Texas_Corpus_Christi,15
341,data\US_Texas_Dallas,6
342,data\US_Texas_Denton,10
343,data\US_Texas_El_Paso,16
344,data\US_Texas_Fort_Worth,17
345,data\US_Texas_Houston,16
346,data\US_Texas_Lubbock,16
347,data\US_Utah_Salt_Lake_City,17
348,data\US_Utah_St._George,9
349,data\US_Vermont_Bennington,15
350,data\US_Vermont_Burlington,10
351,data\US_Vermont_Hartford,9
352,data\US_Vermont_Orange_County,9
353,data\US_Vermont_Rockingham,9
354,data\US_Vermont_Rutland,16
355,data\US_Vermont_Wilmington,9
356,data\US_Virginia_Alexandria,18
357,data\US_Virginia_Altavista,9
358,data\US_Virginia_Arlington,17
359,data\US_Virginia_Blackstone,10
360,data\US_Virginia_Bluefield,8
361,data\US_Virginia_Bristol,11
362,data\US_Virginia_Fairfax,17
363,data\US_Virginia_Greensville,8
364,data\US_Virginia_Hampton,11
365,data\US_Virginia_Lynchburg,14
366,data\US_Virginia_Petersburg,16
367,data\US_Virginia_Pulaski,6
368,data\US_Virginia_Radford,18
369,data\US_Virginia_Redmond,16
370,data\US_Virginia_Roanoke,8
371,data\US_Virginia_Winchester,12
372,data\US_Virginia_Woodbridge,17
373,data\US_Washington_Aberdeen,14
374,data\US_Washington_Bellingham,16
375,data\US_Washington_Ellensburg,14
376,data\US_Washington_Everett,16
377,data\US_Washington_Longview,5
378,data\US_Washington_Olympia,8
379,data\US_Washington_Richland,9
380,data\US_Washington_Seattle,17
381,data\US_Washington_Selah,14
